Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Pet CãoPeão Lj 2;Rua Rio Oiapoque, 884 - Parque Miami, Santo André;5;19;ChIJH1WGJQxrzpQRujmLKACcy6s;pet_store;-23.7379476;-46.4930757
Casa de ração Bigocão;Rua Suçuarana, 794 - Recreio da Borda do Campo, Santo André;4.8;37;ChIJe6WQJbJrzpQRRe-EPcRflBg;pet_store;-23.7345834;-46.4800857
Avicultura Sanhaço da Amazônia;Avenida Mico Leão-Dourado, 2874 - Recreio da Borda do Campo, Santo André;N/A;N/A;ChIJD1y57bprzpQRcO8VQ0TsBqs;pet_store;-23.7323783;-46.4808418
Aruky Pet;Avenida Mico Leão-Dourado, 2849 - Recreio da Borda do Campo, Santo André;4.8;6;ChIJIZod4mlrzpQRrkQWS9NWywo;pet_store;-23.73213849999999;-46.4810109
Pata Pet's;Rua Suçuarana, 433 - Recreio da Borda do Campo, Santo André;4.9;11;ChIJlT_BbbBrzpQR4kA0fn7W2xo;pet_store;-23.73262459999999;-46.47688600000001
Supersonic Company Agropet;Rua Francisco Tometich, 731 - Ponte Seca, Ribeirão Pires;N/A;N/A;ChIJ4a2nb0htzpQRr234dckPTmU;pet_store;-23.7321523;-46.4182271
Agropet Valentina;Rua Francisco Tometich, 727 - Ponte Seca, Ribeirão Pires;N/A;N/A;ChIJkz3-UshszpQRSWBwwqgVrmc;pet_store;-23.7321122;-46.41815399999999
Suellen Cristhina Ipolito da Luz;Praça Getúlio Vargas, 39, Rio Grande da Serra;4.8;11;ChIJ75JE7ScTzpQR4jhhjuKgK8k;veterinary_care;-23.74451400000001;-46.40146099999999
Veterinária Suelen;Rio Grande da Serra;5;3;ChIJA3qyoCYTzpQRCi3iiBNomsg;veterinary_care;-23.7442175;-46.3975293
veterinaria zambicão;Rua Prefeito Carlos José Carlson, 268 - Vila Albano, Rio Grande da Serra;4.5;129;ChIJ_b2EfdwSzpQRHuzvi5aLnuM;veterinary_care;-23.7453917;-46.39375349999999
